iter	Passed	Remaining
0	0	869
1	1	826
2	2	798
3	3	789
4	3	786
5	4	778
6	5	778
7	6	776
8	7	771
9	7	757
10	8	753
11	9	744
12	9	734
13	10	724
14	10	717
15	11	709
16	12	704
17	12	702
18	13	698
19	14	696
20	14	697
21	15	693
22	16	687
23	16	683
24	17	680
25	18	676
26	18	673
27	19	670
28	19	666
29	20	664
30	21	661
31	21	658
32	22	656
33	23	654
34	23	652
35	24	650
36	24	647
37	25	646
38	26	644
39	26	643
40	27	644
41	28	643
42	28	642
43	29	640
44	30	640
45	30	641
46	31	639
47	32	638
48	32	635
49	33	634
50	34	632
51	34	631
52	35	630
53	35	628
54	36	627
55	37	624
56	37	623
57	38	622
58	38	621
59	39	620
60	40	619
61	40	618
62	41	617
63	42	616
64	42	615
65	43	614
66	44	615
67	44	614
68	45	613
69	46	612
70	46	612
71	47	610
72	48	609
73	48	608
74	49	607
75	49	606
76	50	605
77	51	603
78	51	603
79	52	602
80	52	601
81	53	600
82	54	599
83	54	598
84	55	598
85	56	597
86	56	596
87	57	595
88	58	594
89	58	595
90	59	594
91	60	593
92	60	592
93	61	592
94	62	591
95	62	591
96	63	590
97	64	589
98	64	589
99	65	588
100	66	587
101	66	587
102	67	586
103	67	585
104	68	585
105	69	584
106	69	583
107	70	582
108	71	581
109	71	581
110	72	580
111	73	579
112	73	578
113	74	578
114	75	577
115	75	577
116	76	576
117	77	576
118	77	575
119	78	574
120	79	573
121	79	573
122	80	572
123	80	571
124	81	571
125	82	570
126	82	569
127	83	569
128	84	568
129	84	567
130	85	566
131	86	566
132	86	565
133	87	564
134	87	563
135	88	562
136	89	562
137	90	562
138	90	561
139	91	561
140	91	560
141	92	560
142	93	559
143	93	558
144	94	557
145	95	557
146	95	556
147	96	555
148	97	554
149	97	553
150	98	552
151	98	551
152	99	551
153	100	550
154	100	549
155	101	548
156	101	547
157	102	546
158	103	546
159	103	545
160	104	544
161	105	544
162	105	543
163	106	542
164	107	541
165	107	541
166	108	540
167	109	540
168	109	539
169	110	539
170	111	538
171	111	539
172	112	538
173	113	537
174	113	537
175	114	536
176	115	535
177	115	534
178	116	534
179	117	533
180	117	532
181	118	532
182	119	531
183	119	530
184	120	530
185	120	529
186	121	528
187	122	528
188	122	526
189	123	526
190	124	526
191	124	525
192	125	524
193	126	523
194	126	523
195	127	522
196	127	521
197	128	520
198	129	520
199	129	519
200	130	518
201	131	517
202	131	517
203	132	516
204	132	515
205	133	514
206	134	514
207	134	513
208	135	512
209	136	511
210	136	511
211	137	510
212	138	510
213	138	509
214	139	508
215	140	508
216	140	507
217	141	507
218	142	506
219	142	505
220	143	505
221	143	504
222	144	503
223	145	502
224	145	502
225	146	501
226	147	500
227	147	500
228	148	499
229	149	498
230	149	498
231	150	497
232	150	496
233	151	496
234	152	495
235	152	495
236	153	494
237	154	493
238	155	493
239	155	493
240	156	492
241	156	491
242	157	491
243	158	490
244	158	489
245	159	489
246	160	488
247	160	487
248	161	487
249	162	486
250	162	485
251	163	485
252	164	484
253	164	483
254	165	483
255	165	482
256	166	481
257	167	480
258	167	480
259	168	479
260	169	478
261	169	478
262	170	477
263	171	477
264	171	476
265	172	475
266	173	475
267	173	474
268	174	473
269	174	472
270	175	472
271	176	471
272	176	470
273	177	470
274	178	469
275	178	468
276	179	468
277	179	467
278	180	466
279	181	466
280	181	465
281	182	464
282	183	463
283	183	463
284	184	462
285	185	462
286	185	461
287	186	460
288	187	460
289	187	459
290	188	459
291	189	458
292	189	457
293	190	457
294	190	456
295	191	455
296	192	454
297	192	454
298	193	453
299	194	452
300	194	452
301	195	451
302	196	450
303	196	450
304	197	449
305	197	448
306	198	448
307	199	447
308	199	447
309	200	446
310	201	445
311	201	445
312	202	444
313	203	443
314	203	443
315	204	442
316	205	441
317	205	441
318	206	440
319	206	439
320	207	439
321	208	438
322	208	437
323	209	437
324	210	436
325	210	435
326	211	434
327	211	434
328	212	433
329	213	432
330	213	432
331	214	431
332	215	431
333	215	430
334	216	429
335	217	429
336	217	428
337	218	428
338	219	427
339	219	426
340	220	426
341	221	425
342	221	424
343	222	424
344	223	423
345	223	422
346	224	422
347	224	421
348	225	420
349	226	420
350	226	419
351	227	418
352	228	418
353	228	417
354	229	416
355	230	416
356	230	415
357	231	415
358	232	414
359	232	413
360	233	413
361	234	412
362	234	412
363	235	411
364	236	410
365	236	410
366	237	409
367	237	408
368	238	407
369	239	407
370	239	406
371	240	406
372	241	406
373	242	406
374	243	405
375	244	405
376	245	404
377	245	404
378	246	404
379	248	405
380	249	405
381	250	405
382	251	404
383	251	404
384	252	403
385	253	403
386	254	403
387	255	402
388	256	402
389	257	402
390	257	401
391	258	401
392	259	400
393	261	401
394	262	402
395	263	401
396	264	401
397	264	400
398	265	400
399	266	399
400	267	399
401	268	399
402	269	398
403	270	398
404	270	398
405	271	397
406	272	397
407	273	396
408	274	396
409	274	395
410	275	394
411	276	394
412	276	393
413	277	393
414	278	393
